Loot,Tiered?,Loot Type,Element,Acquisition Method,Craftable?,Last Updated,Notes
Wastelander M5,Yes,Shotgun,Kinetic,Eternity Vendor,Yes,30th Anniversary,Tier Upgrade After Crafting
Half-Truths,Yes,Sword,Arc,Eternity Vendor,Yes,30th Anniversary,Tier Upgrade After Crafting
The Other Half,Yes,Sword,Void,Eternity Vendor,Yes,30th Anniversary,Tier Upgrade After Crafting
Retraced Path,Yes,Trace Rifle,Solar,Eternity Vendor,Yes,30th Anniversary,Tier Upgrade After Crafting
BxR-55 Battler,Yes,Pulse Rifle,Solar,Eternity Vendor,Yes,30th Anniversary,Tier Upgrade After Crafting
Pardon Our Dust,Yes,Heavy Grenade Launcher,Kinetic,Eternity Vendor,Yes,30th Anniversary,Tier Upgrade After Crafting
,Nimbus,,,,,,
Dimensional Hypertrochoid,Yes,Heavy Grenade Launcher,Stasis,Neomuna Rank Rewards,Yes,Lightfall,Tier Upgrade After Crafting
Phylotactic Spiral,Yes,Pulse Rifle,Arc,Neomuna Rank Rewards,Yes,Lightfall,Tier Upgrade After Crafting
Volta Bracket,Yes,Sniper Rifle,Strand,Neomuna Rank Rewards,Yes,Lightfall,Tier Upgrade After Crafting
Round Robin,Yes,Hand Cannon,Strand,Neomuna Rank Rewards,Yes,Lightfall,Tier Upgrade After Crafting
Iterative Loop,Yes,Fusion Rifle,Arc,Neomuna Rank Rewards,Yes,Lightfall,Tier Upgrade After Crafting
Thunderhead Armor,Yes,Armor,Armor,Neomuna Rank Rewards,No,MoT,
,Altar of Relativity,,,,,,
Giver's Blessing,Yes,Auto Rifle,Kinetic,Focused Decoding,No,Edge of Fate,
Agape,Yes,Hand Cannon,Solar,Focused Decoding,No,Edge of Fate,
Ulterior Observation,Yes,Machine Gun,Stasis,Focused Decoding,No,Edge of Fate,
Last Thursday,Yes,Pulse Rifle,Strand,Focused Decoding,No,Edge of Fate,
Sublimation,Yes,Scout Rifle,Arc,Focused Decoding,No,Edge of Fate,
Precipial,Yes,Shotgun,Void,Focused Decoding,No,Edge of Fate,
Aion Renewal Armor,Yes,Armor,Armor,Focused Decoding,No,Edge of Fate,
Aion Adapter Armor,Yes,Armor,Armor,World Drop,No,Edge of Fate,
,Fynch,,,,,,
Pointed Inquiry,Yes,Scout Rifle,Arc,Reward Track,No,Witch Queen,
Veritas Armor,Yes,Armor,Armor,Reward Track,No,Witch Queen,
,Ghost,,,,,,
The Call,Yes,Rocket Sidearm,Strand,Pale Heart Rank Rewards,Yes,The Final Shape,Tier Upgrade After Crafting
No Hesitations,Yes,Auto Rifle,Solar,Pale Heart Rank Rewards,Yes,The Final Shape,Tier Upgrade After Crafting
Someday,Yes,Shotgun,Kinetic,Pale Heart Rank Rewards,Yes,The Final Shape,Tier Upgrade After Crafting
Bold Endings,Yes,Hand Cannon,Stasis,Pale Heart Rank Rewards,Yes,The Final Shape,Tier Upgrade After Crafting
Embraced Identity,Yes,Sniper Rifle,Void,Pale Heart Rank Rewards,Yes,The Final Shape,Tier Upgrade After Crafting
Axial Lacuna,Yes,Fusion Rifle,Solar,Pale Heart Rank Rewards,Yes,The Final Shape,Tier Upgrade After Crafting
False Idols,Yes,Sword,Solar,Pale Heart Rank Rewards,Yes,The Final Shape,Tier Upgrade After Crafting
The First Ascent Armor,Yes,Armor,Armor,Pale Heart Rank Rewards,No,The Final Shape,
