copy_index,weapon,role,type,damage_type,is_tiered,is_adept,is_vendor6,is_craftable,is_obtainable,col2_perks,col3_perks,combos_solved,best_pos,gfs,sample_combos,hash
849,Retrofuturist,preferred,Shotgun,Void,1,0,1,0,1,"Loose Change, Pulse Monitor, Slickdraw","Envious Assassin, High Ground, Thresh",8,2,1011,Envious Assassin+Loose Change | Envious Assassin+Slickdraw | High Ground+Loose Change | High Ground+Pulse Monitor | High Ground+Slickdraw | Loose Change+Thresh | Pulse Monitor+Thresh | Slickdraw+Thresh,1612781792
850,Dimensional Hypotrochoid,preferred,Grenade Launcher,Stasis,1,0,0,1,1,"Envious Assassin, Field Prep, Genesis","Bait and Switch, Pugilist, Turnabout",6,2,863,Bait and Switch+Genesis | Envious Assassin+Pugilist | Envious Assassin+Turnabout | Field Prep+Pugilist | Field Prep+Turnabout | Genesis+Turnabout,1311684613
851,Fortunate Star,preferred,Combat Bow,Void,1,0,0,0,1,"Archer's Tempo, Impromptu Ammunition, Transcendent Moment","Explosive Head, Eye of the Storm, Precision Instrument",5,2,239,Archer's Tempo+Eye of the Storm | Explosive Head+Impromptu Ammunition | Explosive Head+Transcendent Moment | Eye of the Storm+Impromptu Ammunition | Impromptu Ammunition+Precision Instrument,2631466936
852,Blowout,preferred,Rocket Launcher,Arc,0,0,1,0,1,"Genesis, Sympathetic Arsenal, Thresh","Adrenaline Junkie, Explosive Light, Lasting Impression",6,2,1083,Adrenaline Junkie+Genesis | Adrenaline Junkie+Thresh | Explosive Light+Genesis | Explosive Light+Sympathetic Arsenal | Explosive Light+Thresh | Genesis+Lasting Impression,1903182562
853,Blowout,preferred,Rocket Launcher,Arc,0,0,1,0,1,"Ensemble, Impulse Amplifier, Turnabout","Explosive Light, Golden Tricorn, Golden Tricorn Enhanced",5,2,1083,Ensemble+Explosive Light | Explosive Light+Turnabout | Golden Tricorn+Turnabout | Golden Tricorn Enhanced+Impulse Amplifier | Golden Tricorn Enhanced+Turnabout,1903182562
854,Doom of Chelchis (Harrowed),preferred,Scout Rifle,Void,0,1,0,1,0,"Explosive Payload, Firefly, Steady Hands","One for All, Repulsor Brace, Withering Gaze",7,2,472,Explosive Payload+Repulsor Brace | Explosive Payload+Withering Gaze | Firefly+One for All | Firefly+Repulsor Brace | One for All+Steady Hands | Repulsor Brace+Steady Hands | Steady Hands+Withering Gaze,1184692845
855,Oversoul Edict (Adept),preferred,Pulse Rifle,Arc,0,1,0,1,0,"Eddy Current, Eye of the Storm, Supercharged Magazine","Headseeker, High Ground, Moving Target",4,2,489,Eddy Current+High Ground | Eye of the Storm+Headseeker | High Ground+Supercharged Magazine | Moving Target+Supercharged Magazine,578105049
856,Giver's Blessing,preferred,Auto Rifle,Kinetic,1,0,0,0,1,"Feeding Frenzy, Impromptu Ammunition, Transcendent Moment","Kinetic Tremors, One for All, Zen Moment",5,2,351,Feeding Frenzy+Kinetic Tremors | Feeding Frenzy+Zen Moment | Impromptu Ammunition+Kinetic Tremors | Kinetic Tremors+Transcendent Moment | One for All+Transcendent Moment,970034755
857,Qullim's Terminus (Harrowed),preferred,Machine Gun,Stasis,0,1,0,1,0,"Heating Up, Slickdraw, Unrelenting","Firefly, Focused Fury, Headstone",6,2,390,Firefly+Heating Up | Firefly+Unrelenting | Focused Fury+Heating Up | Focused Fury+Slickdraw | Focused Fury+Unrelenting | Headstone+Slickdraw,3248429089
858,Nullify (Adept),preferred,Pulse Rifle,Solar,0,1,0,1,0,"Firefly, Rapid Hit, Under-Over","Attrition Orbs, Incandescent, Vorpal Weapon",4,2,525,Attrition Orbs+Rapid Hit | Attrition Orbs+Under-Over | Firefly+Vorpal Weapon | Incandescent+Rapid Hit,892183998
859,Qua Xaphan V,preferred,Machine Gun,Void,0,0,1,0,1,"Killing Wind, Shot Swap, Slideways","Firing Line, High Ground, Wellspring",7,2,1008,Firing Line+Killing Wind | Firing Line+Shot Swap | Firing Line+Slideways | High Ground+Killing Wind | High Ground+Shot Swap | Shot Swap+Wellspring | Slideways+Wellspring,1975125963
860,Locus Locutus,preferred,Sniper Rifle,Stasis,1,0,0,1,1,"Discord, Ensemble, Overflow","Box Breathing, Firing Line, High Ground",6,2,479,Box Breathing+Ensemble | Discord+Firing Line | Ensemble+Firing Line | Ensemble+High Ground | Firing Line+Overflow | High Ground+Overflow,4132072834
861,Sola's Scar,preferred,Sword,Solar,1,0,0,0,1,"Eager Edge, Flash Counter, Tireless Blade","Chain Reaction, Frenzy, Vorpal Weapon",5,2,398,Chain Reaction+Tireless Blade | Eager Edge+Vorpal Weapon | Flash Counter+Frenzy | Frenzy+Tireless Blade | Tireless Blade+Vorpal Weapon,4089030727
862,Chain of Command,preferred,Machine Gun,Stasis,1,0,1,0,1,"Headstone, Osmosis, Under-Over","Demolitionist, Focused Fury",4,2,228,Demolitionist+Headstone | Demolitionist+Under-Over | Focused Fury+Headstone | Focused Fury+Osmosis,1716620044
863,Keen Thistle,preferred,Sniper Rifle,Solar,1,0,0,0,1,"Lead from Gold, Lone Wolf, Under Pressure","Bait and Switch, Elemental Honing, Fourth Time's the Charm",3,2,425,Bait and Switch+Under Pressure | Elemental Honing+Lead from Gold | Fourth Time's the Charm+Lone Wolf,2499834164
864,Laser Painter,preferred,Linear Fusion Rifle,Strand,1,0,1,0,1,"Fragile Focus, Invisible Hand, No Distractions","Hatchling, High-Impact Reserves, Thresh",5,2,1119,Fragile Focus+Hatchling | Fragile Focus+High-Impact Reserves | Hatchling+No Distractions | Invisible Hand+Thresh | No Distractions+Thresh,3221722018
865,The Inquisitor,preferred,Shotgun,Arc,1,0,0,0,1,"Loose Change, Perpetual Motion, Threat Detector","Bait and Switch, Fragile Focus, Opening Shot",6,2,352,Bait and Switch+Loose Change | Bait and Switch+Perpetual Motion | Bait and Switch+Threat Detector | Fragile Focus+Loose Change | Fragile Focus+Perpetual Motion | Loose Change+Opening Shot,51129316
866,Swordbreaker (Adept),preferred,Shotgun,Strand,0,1,0,1,0,"Fragile Focus, Pugilist, Slideshot","Aggregate Charge, One-Two Punch, Sword Logic",7,2,560,Aggregate Charge+Pugilist | Aggregate Charge+Slideshot | Fragile Focus+One-Two Punch | Fragile Focus+Sword Logic | One-Two Punch+Pugilist | Pugilist+Sword Logic | Slideshot+Sword Logic,1239700299
867,Praedyth's Revenge (Timelost),preferred,Sniper Rifle,Kinetic,0,1,0,1,0,"Envious Arsenal, Osmosis, Snapshot Sights","Bait and Switch, Frenzy, Opening Shot",4,2,420,Bait and Switch+Snapshot Sights | Envious Arsenal+Opening Shot | Frenzy+Osmosis | Frenzy+Snapshot Sights,2362652544
868,The Spiteful Fang,preferred,Combat Bow,Stasis,1,0,1,0,1,"Archer's Tempo, Headstone, Successful Warm-Up","Frenzy, Golden Tricorn, Rampage",6,2,211,Archer's Tempo+Frenzy | Frenzy+Headstone | Frenzy+Successful Warm-Up | Golden Tricorn+Headstone | Golden Tricorn+Successful Warm-Up | Headstone+Rampage,1704597062
869,Wicked Sister,preferred,Grenade Launcher,Strand,0,0,1,0,1,"Perpetual Motion, Quickdraw, Unrelenting","Full Court, Hatchling, Reverberation",6,2,1019,Full Court+Perpetual Motion | Full Court+Quickdraw | Hatchling+Perpetual Motion | Hatchling+Quickdraw | Quickdraw+Reverberation | Reverberation+Unrelenting,2039776723
870,Non-Denouement (Adept),preferred,Combat Bow,Arc,0,1,0,1,0,"Impulse Amplifier, Opening Shot, Rolling Storm","Gear Shift, Meganeura, One for All",6,2,348,Gear Shift+Impulse Amplifier | Impulse Amplifier+Meganeura | Impulse Amplifier+One for All | Meganeura+Opening Shot | Meganeura+Rolling Storm | One for All+Rolling Storm,1039915310
871,Found Verdict (Timelost),preferred,Shotgun,Arc,0,1,0,1,0,"Barrel Constrictor, Pugilist, Threat Detector","Gear Shift, Opening Shot, Rolling Storm",7,2,369,Barrel Constrictor+Opening Shot | Gear Shift+Pugilist | Gear Shift+Threat Detector | Opening Shot+Pugilist | Opening Shot+Threat Detector | Pugilist+Rolling Storm | Rolling Storm+Threat Detector,851296754
872,Crowd Pleaser,preferred,Grenade Launcher,Void,0,0,1,0,1,"Clown Cartridge, Genesis, Grave Robber","Moving Target, Quickdraw, Unrelenting",7,2,771,Clown Cartridge+Quickdraw | Clown Cartridge+Unrelenting | Genesis+Moving Target | Genesis+Quickdraw | Grave Robber+Moving Target | Grave Robber+Quickdraw | Grave Robber+Unrelenting,3565520715
873,Xenoclast IV,preferred,Shotgun,Arc,1,0,1,0,1,"Genesis, Grave Robber, Pulse Monitor","Eye of the Storm, Killing Wind, Surrounded",5,2,1175,Eye of the Storm+Genesis | Eye of the Storm+Pulse Monitor | Genesis+Surrounded | Grave Robber+Killing Wind | Killing Wind+Pulse Monitor,963732594
874,Jorum's Claw,preferred,Pulse Rifle,Solar,1,0,0,0,1,"Iron Grip, Moving Target, Offhand Strike","Frenzy, Golden Tricorn, Incandescent",4,2,250,Frenzy+Offhand Strike | Golden Tricorn+Iron Grip | Golden Tricorn+Offhand Strike | Incandescent+Moving Target,62937067
875,Shayura's Wrath,preferred,Submachine Gun,Void,1,0,0,0,1,"Heating Up, Quickdraw","Adrenaline Junkie, Celerity, Golden Tricorn",4,2,660,Adrenaline Junkie+Quickdraw | Celerity+Quickdraw | Golden Tricorn+Heating Up | Golden Tricorn+Quickdraw,3682803680
876,Positive Outlook,preferred,Auto Rifle,Void,1,0,1,0,1,"Invisible Hand, Shot Swap, Tap the Trigger","Golden Tricorn, Golden Tricorn Enhanced, Kill Clip",7,2,963,Golden Tricorn+Invisible Hand | Golden Tricorn+Shot Swap | Golden Tricorn+Tap the Trigger | Golden Tricorn Enhanced+Invisible Hand | Golden Tricorn Enhanced+Shot Swap | Golden Tricorn Enhanced+Tap the Trigger | Kill Clip+Shot Swap,491078457
877,Bold Endings,preferred,Hand Cannon,Stasis,1,0,0,1,1,"Empty Traits Socket, Opening Shot, Strategist","Crystalline Corpsebloom, Golden Tricorn Enhanced, Moving Target",6,2,799,Crystalline Corpsebloom+Empty Traits Socket | Empty Traits Socket+Golden Tricorn Enhanced | Empty Traits Socket+Moving Target | Golden Tricorn Enhanced+Opening Shot | Golden Tricorn Enhanced+Strategist | Moving Target+Strategist,496728945
878,Maahes HC4,preferred,Hand Cannon,Void,1,0,0,0,1,"Enlightened Action, Pulse Monitor, Repulsor Brace","Destabilizing Rounds, Frenzy, Golden Tricorn Enhanced",6,2,382,Destabilizing Rounds+Pulse Monitor | Enlightened Action+Golden Tricorn Enhanced | Frenzy+Pulse Monitor | Frenzy+Repulsor Brace | Golden Tricorn Enhanced+Pulse Monitor | Golden Tricorn Enhanced+Repulsor Brace,1246793994
879,Round Robin,preferred,Hand Cannon,Strand,1,0,0,1,1,"Fourth Time's the Charm, Slideshot, Tear","Golden Tricorn Enhanced, Opening Shot, Pugilist",5,2,1014,Fourth Time's the Charm+Pugilist | Golden Tricorn Enhanced+Tear | Opening Shot+Tear | Pugilist+Slideshot | Pugilist+Tear,2034215657
880,Lonesome,preferred,Sidearm,Kinetic,1,0,1,0,1,"Full Auto Trigger System, Grave Robber","Kill Clip, Multikill Clip, Slideshot",4,2,325,Full Auto Trigger System+Kill Clip | Full Auto Trigger System+Multikill Clip | Grave Robber+Multikill Clip | Grave Robber+Slideshot,843171043
881,Aisha's Care,preferred,Pulse Rifle,Strand,1,0,0,0,1,"Encore, Gutshot Straight, To the Pain","Desperado, Golden Tricorn Enhanced, Hatchling",5,2,440,Desperado+Encore | Desperado+To the Pain | Golden Tricorn Enhanced+To the Pain | Gutshot Straight+Hatchling | Hatchling+To the Pain,3969379530
882,Origin Story,preferred,Auto Rifle,Kinetic,1,0,1,0,1,"Hip-Fire Grip, Keep Away, Slideways","Gutshot Straight, Kinetic Tremors, Onslaught",6,2,1056,Gutshot Straight+Hip-Fire Grip | Gutshot Straight+Keep Away | Gutshot Straight+Slideways | Hip-Fire Grip+Kinetic Tremors | Hip-Fire Grip+Onslaught | Keep Away+Kinetic Tremors,2826850739
883,Prolonged Engagement,preferred,Submachine Gun,Stasis,1,0,1,0,1,"Air Assault, Offhand Strike, Perfect Float","Gutshot Straight, Surrounded, Thresh",5,2,1028,Air Assault+Gutshot Straight | Air Assault+Surrounded | Gutshot Straight+Offhand Strike | Perfect Float+Surrounded | Perfect Float+Thresh,2349907931
884,Bug-Out Bag,preferred,Submachine Gun,Solar,1,0,1,0,1,"Air Assault, Gutshot Straight, Slideways","Collective Action, Incandescent, Swashbuckler",4,2,256,Air Assault+Incandescent | Collective Action+Slideways | Gutshot Straight+Incandescent | Gutshot Straight+Swashbuckler,2832639510
885,Phyllotactic Spiral,preferred,Pulse Rifle,Arc,1,0,0,1,1,"Empty Traits Socket, Trickle Charge, Tunnel Vision","Desperado, Harmony, Rolling Storm",6,2,774,Desperado+Empty Traits Socket | Desperado+Tunnel Vision | Empty Traits Socket+Harmony | Empty Traits Socket+Rolling Storm | Harmony+Trickle Charge | Harmony+Tunnel Vision,3635821806
886,Thin Precipice,preferred,Sword,Strand,1,0,0,1,1,"Relentless Strikes, Steady Hands, Valiant Charge","Chain Reaction, Harmony, Hatchling",8,2,450,Chain Reaction+Relentless Strikes | Chain Reaction+Steady Hands | Chain Reaction+Valiant Charge | Harmony+Relentless Strikes | Harmony+Valiant Charge | Hatchling+Relentless Strikes | Hatchling+Steady Hands | Hatchling+Valiant Charge,4066778670
887,Rufus's Fury (Adept),preferred,Auto Rifle,Strand,0,1,0,1,0,"Reconstruction, Rewind Rounds, Thresh","Hatchling, Tap the Trigger, Target Lock",7,2,701,Hatchling+Reconstruction | Hatchling+Thresh | Reconstruction+Tap the Trigger | Reconstruction+Target Lock | Rewind Rounds+Tap the Trigger | Tap the Trigger+Thresh | Target Lock+Thresh,342514437
888,Fang of Ir Yût (Adept),preferred,Scout Rifle,Strand,0,1,0,1,0,"Killing Wind, Surplus, Tunnel Vision","Hatchling, High Ground, Meganeura",5,2,629,Hatchling+Killing Wind | Hatchling+Surplus | Hatchling+Tunnel Vision | High Ground+Tunnel Vision | Killing Wind+Meganeura,128782990
889,Solemn Remembrance,preferred,Hand Cannon,Stasis,1,0,1,0,1,"Built to Blast, Headstone, Zen Moment","Precision Instrument, Rimestealer",4,2,304,Built to Blast+Precision Instrument | Headstone+Precision Instrument | Precision Instrument+Zen Moment | Rimestealer+Zen Moment,4116518582
890,Syncopation-53,preferred,Pulse Rifle,Stasis,1,0,0,1,1,"Outlaw, Steady Hands, Zen Moment","Focused Fury, Headseeker, Headstone",6,2,600,Focused Fury+Steady Hands | Focused Fury+Zen Moment | Headseeker+Steady Hands | Headstone+Outlaw | Headstone+Steady Hands | Headstone+Zen Moment,2856514843
891,Finite Impactor,preferred,Hand Cannon,Solar,1,0,0,0,1,"Fragile Focus, Heal Clip, Slideways","Heating Up, Moving Target",4,2,154,Fragile Focus+Moving Target | Heal Clip+Moving Target | Heating Up+Slideways | Moving Target+Slideways,1917334929
892,Joxer's Longsword,preferred,Pulse Rifle,Void,1,0,1,0,1,"Lone Wolf, Pugilist, Shoot to Loot","High-Impact Reserves, Under Pressure, Withering Gaze",9,2,923,High-Impact Reserves+Lone Wolf | High-Impact Reserves+Pugilist | High-Impact Reserves+Shoot to Loot | Lone Wolf+Under Pressure | Lone Wolf+Withering Gaze | Pugilist+Under Pressure | Pugilist+Withering Gaze | Shoot to Loot+Under Pressure | Shoot to Loot+Withering Gaze,157601190
893,Mistral Lift,preferred,Linear Fusion Rifle,Void,1,0,0,0,1,"Clown Cartridge, Envious Arsenal, Withering Gaze","Bait and Switch, High-Impact Reserves, Precision Instrument",5,2,483,Bait and Switch+Clown Cartridge | Bait and Switch+Withering Gaze | Clown Cartridge+Precision Instrument | Envious Arsenal+Precision Instrument | High-Impact Reserves+Withering Gaze,3483485727
894,The Recluse,preferred,Submachine Gun,Void,1,0,0,0,1,"Hip-Fire Grip, Subsistence, Threat Detector","Desperate Measures, Destabilizing Rounds, Master of Arms",5,2,518,Desperate Measures+Subsistence | Destabilizing Rounds+Subsistence | Destabilizing Rounds+Threat Detector | Hip-Fire Grip+Master of Arms | Master of Arms+Subsistence,3098328572
895,Lubrae's Ruin (Adept),preferred,Glaive,Solar,0,1,0,1,0,"Immovable Object, Sleight of Hand, Steady Hands","Chaos Reshaped, Incandescent, Surrounded",4,2,374,Chaos Reshaped+Sleight of Hand | Immovable Object+Surrounded | Incandescent+Steady Hands | Sleight of Hand+Surrounded,1466006054
896,No Feelings,preferred,Scout Rifle,Arc,1,0,1,0,1,"Impromptu Ammunition, Outlaw, Voltshot","Box Breathing, Meganeura, Rampage",5,2,296,Box Breathing+Outlaw | Impromptu Ammunition+Meganeura | Meganeura+Outlaw | Outlaw+Rampage | Rampage+Voltshot,2979764077
897,The Call,preferred,Sidearm,Strand,1,0,0,1,1,"Empty Traits Socket, Impulse Amplifier, Slice","Adrenaline Junkie, Aggregate Charge, Multikill Clip",8,2,1088,Adrenaline Junkie+Empty Traits Socket | Adrenaline Junkie+Impulse Amplifier | Adrenaline Junkie+Slice | Aggregate Charge+Empty Traits Socket | Aggregate Charge+Impulse Amplifier | Aggregate Charge+Slice | Empty Traits Socket+Multikill Clip | Impulse Amplifier+Multikill Clip,3947966653
898,Ascendancy,preferred,Rocket Launcher,Solar,1,0,1,0,1,"Impulse Amplifier, Reconstruction, Slideways","Chain Reaction, Explosive Light, Reaper's Tithe",4,2,248,Chain Reaction+Slideways | Explosive Light+Reconstruction | Impulse Amplifier+Reaper's Tithe | Reaper's Tithe+Reconstruction,1713388226
899,Unwavering Duty,preferred,Machine Gun,Solar,1,0,0,0,1,"Envious Assassin, Fourth Time's the Charm, Incandescent","Burning Ambition, Killing Tally, Onslaught",5,2,291,Burning Ambition+Envious Assassin | Envious Assassin+Onslaught | Fourth Time's the Charm+Killing Tally | Fourth Time's the Charm+Onslaught | Incandescent+Onslaught,3489054606
900,Luna Regolith III,preferred,Sniper Rifle,Solar,0,0,1,0,1,"Heal Clip, Perfect Float, Under Pressure","Cascade Point, Incandescent, Precision Instrument",7,2,1020,Cascade Point+Heal Clip | Cascade Point+Perfect Float | Heal Clip+Precision Instrument | Incandescent+Perfect Float | Incandescent+Under Pressure | Perfect Float+Precision Instrument | Precision Instrument+Under Pressure,1948035256
901,Punching Out,preferred,Sidearm,Solar,1,0,1,0,1,"Light Touch, Rangefinder, Recycled Energy","Incandescent, Meganeura, Swashbuckler",7,2,386,Incandescent+Light Touch | Incandescent+Recycled Energy | Light Touch+Meganeura | Light Touch+Swashbuckler | Meganeura+Rangefinder | Rangefinder+Swashbuckler | Recycled Energy+Swashbuckler,1469372193
902,Different Times,preferred,Pulse Rifle,Strand,1,0,0,1,1,"Heating Up, Invisible Hand, Offhand Strike","Collective Action, Empty Traits Socket, Multikill Clip",8,2,693,Collective Action+Heating Up | Collective Action+Invisible Hand | Collective Action+Offhand Strike | Empty Traits Socket+Heating Up | Empty Traits Socket+Invisible Hand | Empty Traits Socket+Offhand Strike | Heating Up+Multikill Clip | Invisible Hand+Multikill Clip,3016891299
903,Occluded Finality,preferred,Sniper Rifle,Arc,1,0,0,0,1,"Mulligan, Rapid Hit, Surplus","Iron Reach, Opening Shot, Vorpal Weapon",7,2,478,Iron Reach+Rapid Hit | Iron Reach+Surplus | Mulligan+Opening Shot | Mulligan+Vorpal Weapon | Opening Shot+Rapid Hit | Opening Shot+Surplus | Rapid Hit+Vorpal Weapon,852551895
904,Blast Furnace,preferred,Pulse Rifle,Kinetic,1,0,1,0,1,"Keep Away, Kinetic Tremors, Zen Moment","Kill Clip, Rampage, Rapid Hit",7,2,411,Keep Away+Rampage | Keep Away+Rapid Hit | Kill Clip+Kinetic Tremors | Kinetic Tremors+Rampage | Kinetic Tremors+Rapid Hit | Rampage+Zen Moment | Rapid Hit+Zen Moment,2533990645
905,Tempered Dynamo,preferred,Fusion Rifle,Arc,1,0,1,0,1,"Opening Shot, Overflow","Kill Clip, Rampage, Surrounded",4,2,153,Kill Clip+Opening Shot | Kill Clip+Overflow | Opening Shot+Rampage | Opening Shot+Surrounded,2925315757
906,21% Delirium,preferred,Machine Gun,Arc,1,0,1,0,1,"Light Touch, Reconstruction, Trickle Charge","Killing Tally, One for All, Rolling Storm",6,2,258,Killing Tally+Light Touch | Killing Tally+Reconstruction | Killing Tally+Trickle Charge | Light Touch+One for All | One for All+Trickle Charge | Reconstruction+Rolling Storm,3001598094
907,Strident Whistle,preferred,Combat Bow,Solar,0,0,1,0,1,"Killing Wind, Moving Target, No Distractions","Explosive Head, Successful Warm-Up, Turnabout",6,2,1101,Explosive Head+Killing Wind | Killing Wind+Successful Warm-Up | Moving Target+Successful Warm-Up | Moving Target+Turnabout | No Distractions+Successful Warm-Up | No Distractions+Turnabout,2591241074
908,Origin Story,preferred,Auto Rifle,Kinetic,1,0,1,0,1,"Slideways, Threat Detector, Zen Moment","Kinetic Tremors, Onslaught, Pugilist",6,2,1056,Kinetic Tremors+Threat Detector | Kinetic Tremors+Zen Moment | Onslaught+Threat Detector | Onslaught+Zen Moment | Pugilist+Slideways | Pugilist+Zen Moment,2826850739
909,Something Something,preferred,Sniper Rifle,Kinetic,1,0,1,0,1,"No Distractions, Stopping Power, Triple Tap","Elemental Honing, Kinetic Tremors, Redirection",7,2,138,Elemental Honing+Stopping Power | Elemental Honing+Triple Tap | Kinetic Tremors+Stopping Power | Kinetic Tremors+Triple Tap | No Distractions+Redirection | Redirection+Stopping Power | Redirection+Triple Tap,3421075982
910,Kept Confidence,preferred,Hand Cannon,Strand,1,0,0,1,1,"Air Assault, Loose Change, Shot Swap","Collective Action, Eye of the Storm, Multikill Clip",6,2,469,Air Assault+Collective Action | Air Assault+Eye of the Storm | Air Assault+Multikill Clip | Eye of the Storm+Shot Swap | Loose Change+Multikill Clip | Multikill Clip+Shot Swap,1875512595
911,Out of Bounds,preferred,Submachine Gun,Arc,1,0,1,0,1,"Dynamic Sway Reduction, Loose Change, Voltshot","Frenzy, Golden Tricorn, Tap the Trigger",5,2,650,Dynamic Sway Reduction+Frenzy | Frenzy+Voltshot | Golden Tricorn+Voltshot | Loose Change+Tap the Trigger | Tap the Trigger+Voltshot,3021407779
912,Nox Perennial V,preferred,Fusion Rifle,Strand,1,0,0,0,1,"Envious Assassin, Lead from Gold, Loose Change","Hatchling, Kickstart, Wellspring",5,2,184,Envious Assassin+Wellspring | Hatchling+Loose Change | Kickstart+Lead from Gold | Lead from Gold+Wellspring | Loose Change+Wellspring,2767393525
913,Mykel's Reverence (Adept),preferred,Sidearm,Strand,0,1,0,1,0,"Collective Demolition, Pugilist, Slice","Frenzy, Harmony, Master of Arms",8,2,451,Collective Demolition+Frenzy | Collective Demolition+Harmony | Frenzy+Pugilist | Frenzy+Slice | Harmony+Pugilist | Harmony+Slice | Master of Arms+Pugilist | Master of Arms+Slice,1986287028
914,Crimil's Dagger,preferred,Hand Cannon,Kinetic,1,0,0,0,1,"Moving Target, Rangefinder, Snapshot Sights","Explosive Payload, Timed Payload, Zen Moment",5,2,526,Explosive Payload+Rangefinder | Moving Target+Timed Payload | Rangefinder+Timed Payload | Snapshot Sights+Timed Payload | Snapshot Sights+Zen Moment,4292849692
915,Albruna-D,preferred,Sniper Rifle,Arc,0,0,1,0,1,"Moving Target, No Distractions, Perpetual Motion","Cascade Point, Slickdraw, Under-Over",8,2,1169,Cascade Point+Moving Target | Cascade Point+No Distractions | Moving Target+Slickdraw | Moving Target+Under-Over | No Distractions+Slickdraw | No Distractions+Under-Over | Perpetual Motion+Slickdraw | Perpetual Motion+Under-Over,676270382
916,Autumn Wind,preferred,Pulse Rifle,Kinetic,1,0,1,0,1,"Perfect Float, Pugilist, Slideways","Adrenaline Junkie, Elemental Capacitor, Multikill Clip",5,2,1409,Adrenaline Junkie+Perfect Float | Adrenaline Junkie+Slideways | Elemental Capacitor+Pugilist | Multikill Clip+Perfect Float | Multikill Clip+Pugilist,3110377595
917,Last Rite,preferred,Scout Rifle,Kinetic,1,0,1,0,1,"Bewildering Burst, Reconstruction, Shoot to Loot","Adhesive Ordnance, Offhand Strike, Vorpal Weapon",5,2,297,Adhesive Ordnance+Shoot to Loot | Bewildering Burst+Vorpal Weapon | Offhand Strike+Reconstruction | Offhand Strike+Shoot to Loot | Shoot to Loot+Vorpal Weapon,3708636616
918,Fatebringer (Timelost),preferred,Hand Cannon,Kinetic,0,1,0,1,0,"Keep Away, Opening Shot, Stopping Power","Binary Orbit, One for All, Precision Instrument",7,2,329,Binary Orbit+Keep Away | Keep Away+One for All | Keep Away+Precision Instrument | One for All+Opening Shot | One for All+Stopping Power | Opening Shot+Precision Instrument | Precision Instrument+Stopping Power,4219826183
919,Non-Denouement (Adept),preferred,Combat Bow,Arc,0,1,0,1,0,"Archer's Tempo, Hip-Fire Grip, Successful Warm-Up","Explosive Head, One for All",3,2,348,Archer's Tempo+One for All | Explosive Head+Hip-Fire Grip | One for All+Successful Warm-Up,1039915310
920,Ammit AR2,preferred,Auto Rifle,Solar,1,0,0,1,1,"Surplus, Turnabout, Well-Rounded","Adrenaline Junkie, One for All, Tap the Trigger",6,2,552,Adrenaline Junkie+Turnabout | One for All+Surplus | One for All+Turnabout | Surplus+Tap the Trigger | Tap the Trigger+Turnabout | Tap the Trigger+Well-Rounded,2119346509
921,Hullabaloo,preferred,Grenade Launcher,Arc,1,0,0,0,1,"Envious Assassin, Stats for All, Voltshot","Golden Tricorn Enhanced, One for All, Strategist",5,2,479,Envious Assassin+Golden Tricorn Enhanced | Envious Assassin+One for All | Golden Tricorn Enhanced+Voltshot | One for All+Voltshot | Stats for All+Strategist,2666273249
922,Someday,preferred,Shotgun,Kinetic,1,0,0,1,1,"One-Two Punch, Threat Detector, Threat Remover","Recombination, Swashbuckler, Vorpal Weapon",7,2,697,One-Two Punch+Swashbuckler | One-Two Punch+Vorpal Weapon | Recombination+Threat Detector | Swashbuckler+Threat Detector | Swashbuckler+Threat Remover | Threat Detector+Vorpal Weapon | Threat Remover+Vorpal Weapon,3232203524
923,Dead Weight,preferred,Shotgun,Arc,0,0,1,0,1,"Dual Loader, Feeding Frenzy, Well-Rounded","One-Two Punch, Surrounded, Trench Barrel",6,2,1510,Dual Loader+Surrounded | Feeding Frenzy+One-Two Punch | Feeding Frenzy+Surrounded | One-Two Punch+Well-Rounded | Surrounded+Well-Rounded | Trench Barrel+Well-Rounded,3738678140
924,Solemn Lie,preferred,Hand Cannon,Arc,1,0,1,0,1,"Keep Away, Slideshot, Trickle Charge","Eye of the Storm, Opening Shot, Rolling Storm",4,2,406,Eye of the Storm+Slideshot | Keep Away+Opening Shot | Keep Away+Rolling Storm | Opening Shot+Trickle Charge,1041028435
925,Fortissimo-11,preferred,Shotgun,Kinetic,1,0,1,0,1,"Pulse Monitor, Threat Detector, Unrelenting","Focused Fury, Opening Shot, Turnabout",6,2,1551,Focused Fury+Pulse Monitor | Focused Fury+Threat Detector | Opening Shot+Pulse Monitor | Opening Shot+Unrelenting | Threat Detector+Turnabout | Turnabout+Unrelenting,963732595
926,Breakneck,preferred,Auto Rifle,Kinetic,1,0,1,0,1,"Feeding Frenzy, Pugilist, Subsistence","Deconstruct, Onslaught, Osmosis",5,2,893,Deconstruct+Subsistence | Feeding Frenzy+Onslaught | Feeding Frenzy+Osmosis | Onslaught+Subsistence | Osmosis+Pugilist,2026755633
927,Defiance of Yasmin (Harrowed),preferred,Sniper Rifle,Kinetic,0,1,0,1,0,"Osmosis, Rewind Rounds, Stopping Power","All-Star, Opening Shot, Vorpal Weapon",6,2,478,All-Star+Osmosis | Opening Shot+Osmosis | Opening Shot+Rewind Rounds | Osmosis+Vorpal Weapon | Rewind Rounds+Vorpal Weapon | Stopping Power+Vorpal Weapon,3503019618
